Response ID,Time,CONSENTIMIENTO INFORMADO ,PBAT1,PBAT2,PBAT3,PBAT4,PBAT5,PBAT6,PBAT7,PBAT8,PBAT9,PBAT10,PBAT11,PBAT12,PBAT13,PBAT14,PBAT15,PBAT16,PBAT17,PBAT18,STOP1,STOP2,STOP3,STOP4,STOP5,HEALTH,VITAL1,VITAL2,VITAL3,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,Sexo,Grupo de edad,Clase Social,Ingresos Mensuales en el Hogar,Ocupación,Tamaño del Municipio,Nivel de estudios,Provincia,CCAA,Región,Áreas Nielsen
67,12/3/24,ACEPTO,72,0,85,50,28,60,10,90,40,30,10,25,60,15,90,80,20,30,15,30,30,20,15,Buena,60,65,60,90,5,80,0,100,0,Mujer,De 35 a 44 años,2-Media,1-Menos de 1.800 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Santa Cruz De Tenerife,Canarias,Sur,Canarias
68,12/3/24,ACEPTO,66,3,99,4,1,50,99,89,18,60,91,2,85,8,90,95,18,18,23,19,10,15,36,Muy buena,89,78,91,82,0,78,0,86,0,Mujer,De 55 a 64 años,2-Media,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Medios,Málaga,Andalucía,Sur,Sur
69,12/3/24,ACEPTO,63,81,60,82,17,76,94,100,53,34,94,88,50,19,89,91,24,6,21,35,18,34,6,Buena,88,92,76,92,14,88,96,99,2,Mujer,De 55 a 64 años,1-Alta,4-Prefiero no responder,1-Trabaja,De 50.000 a 200.000 hab,Medios,Santa Cruz De Tenerife,Canarias,Sur,Canarias
70,12/3/24,ACEPTO,81,50,59,50,50,51,50,50,51,50,50,50,50,50,50,50,50,50,56,29,27,27,50,Buena,39,51,51,50,75,50,40,50,63,Hombre,De 25 a 34 años,1-Alta,4-Prefiero no responder,1-Trabaja,De 50.000 a 200.000 hab,Medios,Madrid,Madrid,Centro,Centro
71,12/3/24,ACEPTO,98,95,93,92,97,97,92,97,96,97,97,97,93,98,94,93,94,92,95,95,95,96,97,Muy buena,98,92,95,94,96,93,95,95,93,Hombre,De 45 a 54 años,2-Media,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Superiores,Barcelona,Cataluña,Noreste,Noreste
72,12/3/24,ACEPTO,80,50,80,80,80,50,0,100,50,50,80,50,100,50,100,100,0,50,20,20,20,10,10,Regular,50,70,70,70,0,90,10,100,50,Hombre,De 65 a 75 años,2-Media,1-Menos de 1.800 €,No trabaja,De 50.000 a 200.000 hab,Básicos,Gerona,Cataluña,Noreste,Noreste
73,12/3/24,ACEPTO,88,0,73,22,14,61,18,100,69,65,32,16,76,18,88,100,0,0,24,2,25,41,87,Buena,35,92,67,77,77,89,22,81,0,Hombre,De 25 a 34 años,3-Baja,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Medios,Barcelona,Cataluña,Noreste,Noreste
75,12/3/24,ACEPTO,57,31,55,78,44,60,62,66,76,41,45,60,46,67,66,68,55,57,65,81,74,65,40,Buena,44,61,56,68,44,56,59,64,43,Mujer,De 25 a 34 años,2-Media,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Navarra,Navarra,Norte,Norte
76,12/3/24,ACEPTO,83,0,78,51,26,87,31,83,0,68,78,18,87,16,100,100,4,0,14,0,15,0,11,Buena,81,89,90,81,12,73,87,84,7,Mujer,De 45 a 54 años,1-Alta,4-Prefiero no responder,1-Trabaja,De 50.000 a 200.000 hab,Superiores,Lugo,Galicia,Norte,Noroeste
77,12/3/24,ACEPTO,38,46,44,61,54,70,61,46,79,69,66,60,55,67,71,64,42,67,72,60,72,49,57,Buena,63,52,70,68,55,57,62,38,43,Mujer,De 18 a 24 años,3-Baja,1-Menos de 1.800 €,No trabaja,Más de 200.000 hab,Medios,Madrid,Madrid,Centro,Centro
